unit_name,analysisEpoch,spikeTimes_1,spikeTimes_2,spikeTimes_3,spikeTimes_4,spikeTimes_5,nSpikes,firingRate,trial_index,stmFreq,stmFreqIndx,timewin_s
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,94,10763.4741152475,28,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,95,1902.73138400435,18,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,24.7415999943623,28.6327999943751,,,,2,15.748031496063,96,672.717132202971,12,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,97,1600,17,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,98,6400,25,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,104.057439995959,,,,,1,7.8740157480315,99,282.842712474619,7,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,100,800,13,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,101,15221.8510720348,30,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,30.7444799982768,78.0942399982887,,,,2,15.748031496063,102,400,9,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,103,1131.37084989848,15,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,104,200,5,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,105,1345.43426440594,16,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,23.0430399995239,55.7700799995218,60.8081599995203,,,3,23.6220472440945,106,475.682846001088,10,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,30.3574399992358,71.2764799992437,,,,2,15.748031496063,107,336.358566101486,8,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,108,3200,21,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,109,5381.73705762377,24,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,110,141.421356237309,3,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,111,12800,29,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,112,237.841423000544,6,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,113,118.920711500272,2,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,114,2690.86852881189,20,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,66.9574399937992,,,,,1,7.8740157480315,115,168.179283050743,4,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,116,7610.92553601741,26,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,117,9050.96679918781,27,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,118,100,1,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,119,2262.74169979695,19,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,22.6452799973486,,,,,1,7.8740157480315,120,565.685424949238,11,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,121,3805.46276800871,22,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,25.5134399991948,,,,,1,7.8740157480315,122,800,13,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,123,2262.74169979695,19,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,124,141.421356237309,3,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,125,100,1,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,126,15221.8510720348,30,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,127,3200,21,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,128,1902.73138400435,18,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,70.8335999938136,72.267199993832,,,,2,15.748031496063,129,336.358566101486,8,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,130,12800,29,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,131,1600,17,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,132,168.179283050743,4,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,133,6400,25,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,134,672.717132202971,12,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,33.7711999963212,61.2553599963139,,,,2,15.748031496063,135,475.682846001088,10,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,136,565.685424949238,11,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,137,951.365692002177,14,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,138,5381.73705762377,24,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,139,4525.4833995939,23,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,140,2690.86852881189,20,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,141,200,5,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,142,118.920711500272,2,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,143,7610.92553601741,26,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,144,9050.96679918781,27,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,62.6635199999437,,,,,1,7.8740157480315,145,400,9,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,146,1345.43426440594,16,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,32.1875199993665,,,,,1,7.8740157480315,147,282.842712474619,7,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,148,237.841423000544,6,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,149,1131.37084989848,15,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,150,10763.4741152475,28,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,151,1600,17,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,24.4739199937321,,,,,1,7.8740157480315,152,800,13,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,153,7610.92553601741,26,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,154,100,1,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,155,10763.4741152475,28,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,156,1902.73138400435,18,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,39.1838400008855,99.55888000087,,,,2,15.748031496063,157,282.842712474619,7,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,158,3200,21,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,25.540959993843,31.3163199938426,77.6011199938366,,,3,23.6220472440945,159,565.685424949238,11,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,25.3894399973215,59.8777599973255,,,,2,15.748031496063,160,400,9,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,161,951.365692002177,14,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,162,200,5,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,163,3805.46276800871,22,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,164,336.358566101486,8,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,165,237.841423000544,6,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,166,475.682846001088,10,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,167,1345.43426440594,16,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,168,118.920711500272,2,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,24.1311999989266,29.3740799989027,46.0857599989395,,,3,23.6220472440945,169,672.717132202971,12,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,170,1131.37084989848,15,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,171,5381.73705762377,24,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,172,2690.86852881189,20,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,173,4525.4833995939,23,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,174,2262.74169979695,19,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,175,168.179283050743,4,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,176,12800,29,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,177,141.421356237309,3,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,178,6400,25,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,179,9050.96679918781,27,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,180,15221.8510720348,30,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,24.9686399944767,,,,,1,7.8740157480315,181,800,13,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,182,5381.73705762377,24,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,183,6400,25,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,184,1902.73138400435,18,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,185,3200,21,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,26.1315199980745,,,,,1,7.8740157480315,186,565.685424949238,11,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,97.6548799993761,100.194399999338,,,,2,15.748031496063,187,282.842712474619,7,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,26.8975999973773,,,,,1,7.8740157480315,188,475.682846001088,10,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,189,2690.86852881189,20,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,190,200,5,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,20.0241599940928,29.1991999940947,,,,2,15.748031496063,191,1131.37084989848,15,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,26.6335999987787,55.5513599987607,90.2035199987586,,,3,23.6220472440945,192,400,9,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,193,4525.4833995939,23,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,194,12800,29,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,195,7610.92553601741,26,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,196,2262.74169979695,19,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,197,118.920711500272,2,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,198,100,1,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,199,3805.46276800871,22,0.127
